titles,released,developers,publishers,genres
Dofus,2005,Ankama Games,Ankama Games,Simulator
Dominant Species,1998,Red Storm Entertainment,Red Storm Entertainment,"Real Time Strategy (RTS), Strategy"
Domination,2005,Wargaming,DreamCatcher Games,"Simulator, Strategy"
Dominion: Storm Over Gift 3,1998,Ion Storm,Eidos Interactive,"Real Time Strategy (RTS), Strategy"
Dominions 3: The Awakening,2006,Illwinter Game Design,Shrapnel Games,"Strategy, Indie"
Dominions II: The Ascension Wars,2003,Illwinter Game Design,Shrapnel Games,Strategy
"Dominions: Priests, Prophets and Pretenders",2002,Illwinter Game Design,Shrapnel Games,Strategy
Donald Duck: Goin Quackers,2000,Ubisoft Montreal,Ubisoft,"Fighting, Platform"
Donald Trumps Real Estate Tycoon,2005,Airborne,Activision Value,"Simulator, Strategy"
Doom,2016,id Software,Bethesda Softworks,Shooter
Doom II: Hell on Earth,1995,id Software,GT Interactive,Shooter
Doom 3,2004,id Software,Activision,"Platform, Adventure"
Doom 3: Resurrection of Evil,2005,Nerve Software,Activision,Shooter
Dota 2,2013,Valve,Valve,"Strategy, MOBA"
Double Dealing Character,2013,Team Shanghai Alice,Team Shanghai Alice,"Shooter, Indie"
Double Kick Heroes,2020,Headbang Club,Headbang Club,"Fighting, Shooter, Music, Indie, Arcade"
Double Spoiler,2010,Team Shanghai Alice,Team Shanghai Alice,"Shooter, Indie"
Double Switch,1993,Digital Pictures,Digital Pictures,"Platform, Indie, Arcade"
Down in the Dumps,1996,Haiku Studios,Philips Media,Puzzle
Downtown Run,2003,Ubisoft,Ubisoft,Racing
Dr. Brain: Action Reaction,1999,Knowledge Adventure,Knowledge Adventure,Puzzle
Dracula 2: The Last Sanctuary,2000,"Wanadoo Edition, Canal+ Multimedia",Cryo Interactive,"Point-and-click, Adventure"
Dracula 3: The Path of the Dragon,2008,Kheops Studio,"Microids, Encore Games","Point-and-click, Adventure"
Dracula Twins,2006,Legendo Entertainment,Legendo Entertainment,"Platform, Arcade"
Dracula: Resurrection,1999,"Index+, Canal+ Multimedia, France Telecom Multimedia",Microids,"Point-and-click, Adventure"
Dragon Age: Inquisition,2014,BioWare,Electronic Arts,"Role-playing (RPG), Tactical, Adventure"
Dragon Age: Origins,2009,BioWare,Electronic Arts,Role-playing (RPG)
Dragon Age: Origins – Awakening,2010,BioWare,Electronic Arts,"Role-playing (RPG), Strategy"
Dragon Age II,2011,BioWare,Electronic Arts,Adventure
Dragon Ball FighterZ,2018,Arc System Works,Namco Bandai Games,Fighting
Dragon Ball Online,2009,"NTL Inc., Bird Studio, Shueisha","CJ Internet Corporation, Namco Bandai Games","Role-playing (RPG), Adventure"
Dragon Ball Xenoverse,2015,Dimps,Namco Bandai Games,Adventure
Dragon Ball Xenoverse 2,2016,Dimps,Namco Bandai Games,Adventure
Dragon City,2019,Socialpoint,Socialpoint,"Role-playing (RPG), Simulator"
Dragon Marked for Death,2020,Inti Creates,Inti Creates,"Role-playing (RPG), Indie"
Dragon Quest XI,2020,Square Enix,Square Enix,"Role-playing (RPG), Adventure"
Dragon Quest Rivals Ace,2020,Square Enix,Square Enix,Turn-based strategy (TBS)
Dragon Riders: Chronicles of Pern,2001,Ubi Studios UK,Ubisoft,Adventure
Dragon Slayer Jr: Romancia,1999,Nihon Falcom,Falcom,Role-playing (RPG)
Dragon Throne: Battle of Red Cliffs,2002,Object Software Limited,Strategy First,"Real Time Strategy (RTS), Strategy"
Dragons Lair,1997,Digital Leisure,Digital Leisure,Adventure
Dragons Lair II: Time Warp,1996,"Sullivan Bluth Interactive Media, Inc.",ReadySoft Incorporated,"Adventure, Arcade"
Dragons Lair 3D: Return to the Lair,2002,Dragonstone Software,Ubisoft,"Platform, Adventure"
Dragonheart: Fire & Steel,1996,Funcom,Acclaim,"""Hack and slash/Beat em up"""
Drakan: Order of the Flame,1999,Surreal Software,Psygnosis,"Role-playing (RPG), Adventure"
Drake of the 99 Dragons,2003,Idol FX,Majesco Entertainment,Shooter
Drakensang: The Dark Eye,2008,Radon Labs,"dtp entertainment, THQ, Eidos Interactive, Fx Interactive","Role-playing (RPG), Adventure"
Drakensang: The River of Time,2010,Radon Labs,dtp entertainment,Role-playing (RPG)
Dream Chamber,2013,DarkWave Games,Microids,Adventure
Dream Match Tennis,2006,Bimboosoft Co. Ltd,Bimboosoft Co. Ltd,Sport
Dream Pinball 3D,2008,TopWare Interactive,SouthPeak Games,Pinball
Dreamlords,2007,LockPick Entertainment,"LockPick Entertainment, Aeria Games & Entertainment, gamigo AG, Akella",Strategy
Driftmoon,2013,Interactive Kingdom,Interactive Kingdom,"Role-playing (RPG), Adventure, Indie"
Driv3r,2004,Reflections Interactive,Atari,"Shooter, Racing"
Driver,1999,Reflections Interactive,GT Interactive,"Shooter, Racing"
Driver: Parallel Lines,2006,Reflections Interactive,Ubisoft,"Shooter, Racing"
DROD RPG: Tendrys Tale,2008,Caravel Games,Caravel Games,"Role-playing (RPG), Strategy, Adventure, Indie"
Drome Racers,2002,Attention to Detail,"Electronic Arts, Lego Interactive",Racing
Drop Mania,1999,Detonium Interactive,Suomen Kotijaatelo Oy,Puzzle
Droplitz,2009,Blitz Arcade,Atlus,Puzzle
Drowned God: Conspiracy of the Ages,1996,Epic Multimedia Group,Inscape,"Point-and-click, Adventure"
Duckman: The Legend of the Fall,1997,The Illusions Game Company,Playmates Interactive,Adventure
Duck Dynasty,2014,Fun Labs,Activision,"Sport, Adventure"
Duke Nukem 3D Atomic Edition,2013,3D Realms Entertainment,3D Realms Entertainment,Shooter
Duke Nukem: Manhattan Project,2002,Sunstorm Interactive,ARUSH Entertainment,"Shooter, Platform"
Dune 2000,1998,Intelligent Games,Westwood Studios,"Real Time Strategy (RTS), Strategy"
Dungeon Defenders,2011,Trendy Entertainment,Trendy Entertainment,Indie
Dungeon Keeper,1997,Bullfrog Productions,Electronic Arts,"Role-playing (RPG), Simulator, Strategy, Adventure, Indie"
Dungeon Keeper: The Deeper Dungeons,1997,Bullfrog Productions,Electronic Arts,"Real Time Strategy (RTS), Strategy"
Dungeon Keeper Gold,1998,Bullfrog Productions,Electronic Arts,Strategy
Dungeon Keeper 2,1999,Bullfrog Productions,Electronic Arts,"Real Time Strategy (RTS), Strategy"
Dungeon Lords,2005,Heuristic Park,"DreamCatcher Interactive, FX Interactive, Crimson Cow, 1C Company, Typhoon Games","Real Time Strategy (RTS), Role-playing (RPG), Strategy"
Dungeon Lords: The Orb and the Oracle,2009,Heuristic Park,"DreamCatcher Interactive, JoWood",Role-playing (RPG)
Dungeon Runners,2007,NCsoft,NCsoft,"Platform, Strategy, Adventure, Indie, Arcade"
Dungeon Siege,2002,Gas Powered Games,Microsoft Game Studios,Role-playing (RPG)
Dungeon Siege II,2005,Gas Powered Games,Microsoft Game Studios,Role-playing (RPG)
Dungeon Siege II: Broken World,2006,Gas Powered Games,2K Games,Role-playing (RPG)
Dungeon Siege: Legends of Aranna,2003,Gas Powered Games,Microsoft Game Studios,"Role-playing (RPG), Adventure"
Dungeons & Dragons: Dragonshard,2005,Liquid Entertainment,Atari,"Role-playing (RPG), Strategy"
Dungeons & Dragons Online,2006,"Turbine, Inc.",Atari,Adventure
Dust: A Tale of the Wired West,1995,Cyberflix,GTE Entertainment,Adventure
Dust: An Elysian Tail,2012,Humble Hearts,Microsoft Studios,"Platform, Role-playing (RPG), ""Hack and slash/Beat em up"", Adventure, Indie"
DX-Ball,1996,Michael P. Welch,,Indie
DX-Ball 2,1998,Longbow Digital Arts,Longbow Digital Arts,Indie
Dynasty Warriors 4,2003,Omega Force,Koei,"Tactical, ""Hack and slash/Beat em up"", Adventure"
Dynasty Warriors 6,2007,Omega Force,Koei,"Strategy, ""Hack and slash/Beat em up"", Adventure"
Dynomite!,2002,Raptisoft GamesPopCap Games,PopCap Games,Strategy
Dystopia,2005,Team Dystopia,Valve Corporation,"Simulator, Adventure, Visual Novel"
Earache: Extreme Metal Racing,2006,Data Design Interactive,Data Design Interactive,Racing
Earth & Beyond,2002,Westwood Studios,Electronic Arts,"""Hack and slash/Beat em up"", Adventure"
Earth 2140,1997,TopWare Interactive,TopWare InteractiveInterplay Entertainment,Strategy
Earth 2150,2000,TopWare Interactive,1C CompanySnowball,"Real Time Strategy (RTS), Strategy"
Earth 2150: Lost Souls,2002,Infinite-XZUXXEZ Entertainment,Oxygen Interactive,"Real Time Strategy (RTS), Strategy"
Earth 2150: The Moon Project,2000,TopWare Interactive,Dinamic Multimedia,"Real Time Strategy (RTS), Strategy"
Earth 2160,2005,Reality Pump,Deep Silver,"Real Time Strategy (RTS), Strategy"
Earth No More,2009,Recoil GamesRadar Group,Recoil Games,Shooter
Earth Universe,2005,Reality PumpTopWare Interactive,ZUXXEZ Entertainment,Adventure
Earthlock: Festival of Magic,2016,Snowcastle Games,Snowcastle Games,"Role-playing (RPG), Strategy, Adventure, Indie"
Earthrise,2009,Masthead Studios,Iceberg Interactive,Puzzle
Earthsiege 2,1996,Dynamix,DynamixSierra Entertainment,Simulator
Earthworm Jim,1995,Shiny Entertainment,Activision,"Shooter, Platform, Adventure"
Earthworm Jim 3D,2000,VIS Entertainment,Interplay Entertainment,"Platform, Adventure"
East India Company,2009,Nitro Games,Paradox Interactive,"Real Time Strategy (RTS), Strategy"
Ecco the Dolphin,2010,Novotrade International,Sega,"Platform, Puzzle, Adventure"
Echelon,2001,MADia Entertainment,BUKA,"Shooter, Adventure"
Echo: Secrets of the Lost Cavern,2005,Kheops Studio,The Adventure Company Coladia Games,Adventure
Eclipse,2005,CelTech Studios,CelTech Studios,"Shooter, Simulator"
Ecstatica II,1997,Andrew Spencer Studios,Psygnosis,Adventure
"Ed, Edd n Eddy: The Mis-Edventures",2005,Artificial Mind and Movement,Midway Games,"Platform, Sport, Adventure"
Edge,2011,Two Tribes,Mobigame,"Fighting, Role-playing (RPG), Tactical"
Edge of Twilight,2009,Fuzzyeyes,SouthPeak Games,"Adventure, Indie"
Edna & Harvey: Harveys New Eyes,2012,Daedalic Entertainment,Daedalic Entertainment,"Point-and-click, Puzzle, Adventure, Indie"
Edna & Harvey: The Breakout,2008,Daedalic Entertainment,Daedalic Entertainment,"Point-and-click, Puzzle, Adventure, Indie"
Eets,2006,Klei Entertainment,Klei Entertainment,"Platform, Puzzle, Strategy"
Eidolon,2014,Ice Water Games,Ice Water Games,"Shooter, ""Hack and slash/Beat em up"""
Elasto Mania,2000,Balazs Rozsa,Independent,"Platform, Puzzle, Racing, Simulator, Sport, Indie, Arcade"
The Elder Scrolls III: Bloodmoon,2003,Bethesda Softworks,Bethesda Softworks,"Role-playing (RPG), Adventure"
The Elder Scrolls III: Morrowind,2002,Bethesda Game Studios,Bethesda SoftworksZeniMax MediaUbisoftValve Corporation,"Role-playing (RPG), Adventure"
The Elder Scrolls III: Tribunal,2002,Bethesda Softworks,Bethesda Softworks,"Role-playing (RPG), Adventure"
The Elder Scrolls IV: Oblivion,2006,Bethesda Softworks,2K Games,Role-playing (RPG)
The Elder Scrolls IV: Shivering Isles,2007,Bethesda Softworks,"Bethesda Softworks, 2K Games",Role-playing (RPG)
The Elder Scrolls V: Skyrim,2011,Bethesda Game Studios,Bethesda Softworks,Role-playing (RPG)
Elemental: War of Magic,2010,Stardock,Stardock,"Strategy, Turn-based strategy (TBS)"
Elements of Destruction,2007,Frozen Codebase,THQ,Strategy
Elf Bowling,1999,"NStorm, Inc.","NStorm, Inc.",Sport
Elf Bowling 2 : Elves Paradise,2000,"NStorm, Inc.","NStorm, Inc.",Sport
Elf Bowling 3,2002,"NStorm, Inc.","NStorm, Inc.",Sport
Elf Bowling 6: Air Biscuits,2005,"NStorm, Inc.","NStorm, Inc.",Sport
Elf Bowling: Bocce Style,2004,"NStorm, Inc.","NStorm, Inc.",Sport
Elf Bowling: Hawaiian Vacation,2008,"Hot Lava Games, NStorm, Inc.","MumboJumbo, LLC",Sport
Elite Warriors: Vietnam,2005,nFusion,Infogrames,"Shooter, Strategy"
Elven Legacy,2009,1C Company,Paradox Interactive,"Strategy, Turn-based strategy (TBS)"
The Embodiment of Scarlet Devil,2002,Team Shanghai Alice,Team Shanghai Alice,Shooter
Emerald City Confidential,2009,Wadjet Eye Games,PlayFirst,Adventure
Emergency,1998,Sixteen Tons Entertainment,Arush Entertainment,"Simulator, Strategy"
Emergency Fire Response,2003,Monte Cristo Multimedia,DreamCatcher Interactive,Strategy
Emergency Hospital,2009,GameInvest,GameInvest,Strategy
Emperor: Battle for Dune,2001,"Intelligent Games, Westwood Studios",EA Games,"Real Time Strategy (RTS), Strategy"
Emperor: Rise of the Middle Kingdom,2002,"BreakAway Games, Impressions Games",Sierra Entertainment,"Real Time Strategy (RTS), Simulator, Strategy"
Empire Earth,2001,Stainless Steel Studios,Sierra Entertainment,"Real Time Strategy (RTS), Simulator, Strategy"
Empire Earth: The Art of Conquest,2002,Mad Doc Software,Sierra Entertainment,"Real Time Strategy (RTS), Simulator, Strategy"
Empire Earth II,2005,Mad Doc Software,Vivendi Universal,"Real Time Strategy (RTS), Simulator, Strategy"
Empire Earth II: The Art of Supremacy,2006,Mad Doc Software,Vivendi Universal,"Real Time Strategy (RTS), Simulator, Strategy"
Empire Earth III,2007,Mad Doc Software,Sierra Entertainment,"Real Time Strategy (RTS), Simulator, Strategy"
Empire of the Ants,2000,Microids,Microids,"Simulator, Strategy"
Empire: Total War,2009,The Creative Assembly,Sega,"Real Time Strategy (RTS), Strategy"
Empires: Dawn of the Modern World,2003,Stainless Steel Studios,Activision,"Real Time Strategy (RTS), Strategy"
Enclave,2002,Starbreeze Studios,Vivendi Universal Games,"""Hack and slash/Beat em up"""
Endless Ages,2003,Avaria Corporation,SummitSoft Entertainment,"Role-playing (RPG), Adventure"
Endorfun,1995,Onesong Partners,Time Warner Interactive,"Puzzle, Strategy"
Enemy Engaged 2,2007,G2 CES,G2 Games,Simulator
Enemy Engaged: RAH-66 Comanche vs. KA-52 Hokum,2000,Razorworks,Empire Interactive,Simulator
Enemy Nations,1997,Windward Studios,Head Games Publishing,"Simulator, Strategy"
Enemy Territory: Quake Wars,2007,"Splash Damage, id Software",Activision,"Shooter, Strategy"
Enemy Zero,1996,WARP,Sega,"Shooter, Tactical"
Enigma: Rising Tide,2003,Tesseraction Games,Dreamcatcher Interactive,Simulator
Enigmo,2003,Pangea Software,Pangea Software,Puzzle
Enter the Matrix,2003,Shiny Entertainment,"Atari, Warner Bros. Interactive Entertainment","Fighting, Shooter, Racing, ""Hack and slash/Beat em up"", Adventure"
Entomorph: Plague of the Darkfall,1995,Cyberlore Studios,Mindscape,"Point-and-click, Role-playing (RPG), Adventure"
Entropia Universe,2003,"MindArk, FPC","MindArk, FPC","Shooter, Role-playing (RPG)"
Eragon,2006,"Stormfront Studios, Amaze Entertainment",Vivendi Universal Games,"""Hack and slash/Beat em up"", Adventure"
Escape from Monkey Island,2000,LucasArts,LucasArts,"Point-and-click, Puzzle, Adventure"
Escape From Paradise City,2007,Sirius Games,CDV Software,"Real Time Strategy (RTS), Strategy"
Escape Velocity Nova,2002,"Ambrosia Software, ATMOS",Ambrosia Software,Strategy
Eschalon: Book I,2007,Basilisk Games,Basilisk Games,"Role-playing (RPG), Indie"
Eschalon: Book II,2009,Basilisk Games,Basilisk Games,"Role-playing (RPG), Indie"
Eternal Fantasy,2007,Circus,Circus,"Role-playing (RPG), Turn-based strategy (TBS)"
Eternal Lands,2003,Radu Privantu,Radu Privantu,Role-playing (RPG)
Eternal Silence,2006,Crankshaft Games,Valve,Shooter
Eternitys Child,2008,"Luc Bernard, Silver Sphere Studios",Silver Sphere Studios,"Platform, Adventure, Indie"
Eufloria,2009,Omni Systems Limited,Headup Games,"Strategy, Indie"
Euro Truck Simulator,2008,SCS Software,"Rondomedia, Akella, Excalibur Publishing, TopWare, Seven M, Anuman, Wendros","Simulator, Adventure, Indie"
Eurofighter Typhoon,2001,"Digital Image Design, Rage Software",Rage Software,Simulator
Europa 1400: The Guild,2002,4HEAD Studios,JoWood Productions,"Real Time Strategy (RTS), Simulator, Strategy"
Europa Universalis,2000,Paradox Interactive,"Strategy First, Typhoon Games","Real Time Strategy (RTS), Simulator, Strategy"
Europa Universalis II,2001,Paradox Interactive,Strategy First,"Simulator, Strategy"
Europa Universalis III,2007,Paradox Interactive,Paradox Interactive,Turn-based strategy (TBS)
Europa Universalis III: In Nomine,2008,Paradox Interactive,Paradox Interactive,Strategy
Europa Universalis III: Napoleons Ambition,2007,Paradox Interactive,Paradox Interactive,Strategy
Europa Universalis: Crown of the North,2000,Paradox Entertainment,"Levande Böcker, PAN Vision, Strategy First","Simulator, Strategy"
Europa Universalis: Rome,2008,Paradox Interactive,Paradox Interactive,"Real Time Strategy (RTS), Simulator, Strategy"
Europe Racer,2001,Davilex Games,Infogrames,Racing
European Air War,1998,MicroProse,MicroProse,Simulator
EVE Burst Error,1997,Cs Ware,Cs Ware,Adventure
Eve Online,2003,CCP Games,"SSI, CCP Games","Role-playing (RPG), Simulator, Strategy"
Ever 17: The Out of Infinity,2002,KID,"KID, T-TIME Technology, Beijing Entertainment All Technology, Hirameki International","Adventure, Visual Novel"
EverQuest,1999,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
EverQuest II,2004,Sony Online Entertainment,"Sony Online Entertainment, Gamania, Akella, Square Enix, Ubisoft",Role-playing (RPG)
EverQuest II: The Shadow Odyssey,2008,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
EverQuest: Depths of Darkhollow,2005,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
EverQuest: Dragons of Norrath,2005,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
EverQuest: Lost Dungeons of Norrath,2003,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
EverQuest: Prophecy of Ro,2006,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
EverQuest: Secrets of Faydwer,2007,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
EverQuest: The Buried Sea,2007,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
EverQuest: The Serpents Spine,2006,Sony Online Entertainment,Sony Online Entertainment,Role-playing (RPG)
Everyday Shooter,2007,Queasy Games,Valve,"Shooter, Music, Indie"
Everything,2017,David OReilly,Double Fine Productions,Indie
Evidence: The Last Ritual,2006,Lexis Numerique,"Ubisoft, The Adventure Company","Puzzle, Adventure"
Evil Dead: Hail to the King,2000,Heavy Iron Studios,THQ,Adventure
Evil Dead: Regeneration,2005,Cranky Pants Games,THQ,"""Hack and slash/Beat em up"", Adventure"
Evil Genius,2004,Elixir Studios,Sierra Entertainment,"Simulator, Strategy"
Evil Islands: Curse of the Lost Soul,2000,Nival Interactive,Nival Interactive,"Role-playing (RPG), Strategy"
Evil Twin: Cypriens Chronicles,2001,In Utero,Ubisoft,Platform
Evochron Alliance,2007,StarWraith 3D Games,StarWraith 3D Games,Simulator
Evochron Renegades,2007,StarWraith 3D Games,StarWraith 3D Games,Simulator
Evolution: The Game of Intelligent Life,1997,Crossover Technologies,"Interplay Entertainment, Egmont Interactive, Rede Globo","Simulator, Strategy"
Evolva,2000,Computer Artworks Ltd.,Interplay Entertainment,"Shooter, Strategy, Adventure"
Evoland,2013,Shiro Games,Shiro Games,"Role-playing (RPG), Adventure, Indie"
Evoland 2,2015,Shiro Games,Shiro Games,"Fighting, Music, Platform, Role-playing (RPG), Strategy, Turn-based strategy (TBS), ""Hack and slash/Beat em up"", Adventure, Indie"
Excalibur 2555 AD,1997,Tempest Software,Sir-tech,Adventure
Explodemon,2009,Curve Studios,Curve Studios,"Platform, Puzzle, Strategy, Adventure, Indie"
Exteel,2007,NCsoft,NCsoft,Shooter
Extreme Paintbrawl,1998,Creative Carnage,Head Games Publishing,Shooter
Extreme Rock Climbing,1999,Creative Carnage,Head Games Publishing,Sport
Extreme-G 2,1998,Probe Entertainment,Acclaim Entertainment,"Racing, Sport"
EZ2ON,1998,Retro Games,Retro Games,Music
F-22 Lightning II,1996,NovaLogic,NovaLogic,"Shooter, Simulator"
F-22 Lightning 3,1999,Novalogic,Electronic Arts,Simulator
F-22 Raptor,1997,Novalogic,Novalogic,"Fighting, Simulator"
F-22 Total Air War,1998,Digital Image Design,Infogrames,"Simulator, Strategy"
The F.A. Premier League Football Manager 2000,1999,EA UK,EA Sports,Sport
The F.A. Premier League Football Manager 2001,2000,EA UK,EA Sports,Sport
The F.A. Premier League Football Manager 99,1998,EA UK,EA Sports,Sport
F.E.A.R.,2005,Monolith Productions,Vivendi Universal,Indie
F.E.A.R. 2: Project Origin,2009,Monolith Productions,Warner Bros. Interactive Entertainment,"Shooter, Adventure"
F.E.A.R. Extraction Point,2006,TimeGate Studios,Vivendi Universal,Shooter
F.E.A.R. Perseus Mandate,2007,TimeGate Studios,Sierra Entertainment,Shooter
F1 2000,2000,Image Space Incorporated,EA Sports,"Racing, Simulator"
F1 Challenge 99-02,2003,Image Space Incorporated,EA Sports,"Racing, Simulator, Sport"
F1 Manager,2000,Intelligent Games,EA Sports,"Racing, Simulator, Strategy"
F1 Racing Championship,2000,Ubisoft,Video System,"Racing, Simulator"
Fable,1996,Simbiosis Interactive,Sir-Tech,"Strategy, Turn-based strategy (TBS), Card & Board Game"
Fable,2004,"Lionhead Studios, Big Blue Box",Microsoft Game Studios,"Strategy, Turn-based strategy (TBS), Card & Board Game"
Faces of War,2016,Best Way,Ubisoft,"Real Time Strategy (RTS), Simulator, Strategy, Tactical"
Factorio,2006,Wube Software,Wube Software,"Simulator, Strategy, Indie"
Fade,2001,Fade Team,PocketGearHandango,"Role-playing (RPG), Adventure"
Fae Tactics,2020,Endlessfluff Games,Humble Games,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical, Indie"
Fahrenheit,2005,Quantic Dream,Atari,Adventure
Fahrenheit: Indigo Prophecy Remastered,2015,"Quantic Dream, Aspyr",Aspyr,"Role-playing (RPG), Adventure"
The Fairly OddParents: Breakin Da Rules,2003,Blitz Games,THQ,"Platform, Adventure"
The Fairly OddParents: Shadow Showdown,2004,ImaginEngineBlitz Games,THQ,"Platform, Adventure"
Fairway Solitaire,2007,Grey Alien Games,Big Fish Games,Puzzle
Fairy Godmother Tycoon,2007,Pogo.comElectronic Arts,Electronic Arts,Simulator
Fairy Wars,2010,Team Shanghai Alice,Team Shanghai Alice,Indie
Fairytale Fights,2009,Playlogic Game Factory,Playlogic Entertainment,"Platform, ""Hack and slash/Beat em up"", Adventure"
Falcon 4.0,1998,MicroProse,MicroProse,Simulator
Falcon 4.0: Allied Force,2005,Lead Pursuit,Graphsim EntertainmentExcalibur Publishing,Simulator
Fallen Earth,2009,Reloaded Productions,K2 Network,"Shooter, Role-playing (RPG)"
Fallen Empire: Legions,2008,GarageGames,InstantAction,"Role-playing (RPG), Adventure"
Falling Stars,2007,Ivolgamus,AgetecNordcurrent,Adventure
Fallout,1997,Black Isle Studios,Interplay Entertainment,"Shooter, Role-playing (RPG)"
Fallout 2,1998,Black Isle Studios,Interplay Entertainment,"Role-playing (RPG), Adventure"
Fallout 3,2008,Bethesda Game Studios,Bethesda Softworks,"Shooter, Role-playing (RPG), Sport"
Fallout 4,2015,Bethesda Game Studios,Bethesda Softworks,"Shooter, Role-playing (RPG)"
Fallout 76,2018,Bethesda Game Studios,Bethesda Softworks,"Shooter, Role-playing (RPG)"
Fallout Shelter,2016,"Bethesda Game Studios, Behaviour Interactive",Bethesda Softworks,"Role-playing (RPG), Simulator, Strategy"
Fallout Tactics: Brotherhood of Steel,2001,Micro Forte,14 Degrees East,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical"
Fallout: New Vegas,2010,Obsidian Entertainment,Bethesda Softworks,"Shooter, Role-playing (RPG)"
Fantastic Four,2005,"7 Studios, Beenox Studios",Activision,Adventure
Fantasy Earth: Zero,2006,Fenix Soft,Gamepot,"Role-playing (RPG), Adventure"
Fantasy General,1996,"Strategic Simulations, Inc.","Strategic Simulations, Inc.","Strategy, Turn-based strategy (TBS)"
Fantasy Wars,2007,Ino-Co,"1C Company, Nobilis France","Role-playing (RPG), Strategy, Indie"
Far Cry,2004,Crytek,Ubisoft,"Shooter, Adventure"
Far Cry 2,2008,Ubisoft Montreal,Ubisoft,"Shooter, Adventure"
Farland Saga,1996,Technical Group Laboratory,Technical Group Laboratory,Role-playing (RPG)
Farland Saga: Toki no Michishirube,1997,Technical Group Laboratory,Technical Group Laboratory,Role-playing (RPG)
Farland Odyssey,1999,Technical Group Laboratory,Technical Group Laboratory,Strategy
Farscape: The Game,2002,Red Lemon Studios,Crucial Entertainment,"Strategy, Adventure"
Fast Food Tycoon,2000,Software 2000,Activision Value Publishing,"Simulator, Strategy"
Fast Food Tycoon 2,2001,Software 2000,Activision Value,"Simulator, Strategy"
Fatal Fury 3: Road to the Final Victory,1996,SNK,SNK,Fighting
Fate,2005,"WildStudios, WildTangent",WildTangent,"Role-playing (RPG), Adventure, Indie"
Fate: Undiscovered Realms,2008,"WildStudios, WildTangent",WildTangent,"Role-playing (RPG), Adventure"
Feeding Frenzy,2004,"Sprout Games, PopCap Games","GameHouse, PopCap Games",Arcade
Feeding Frenzy 2: Shipwreck Showdown,2006,PopCap Games,PopCap Games,Arcade
Feudal Alloy,2019,Attu Games,Attu Games,"Platform, Role-playing (RPG), Adventure, Indie"
Fez,2013,Polytron Corporation,Trapdoor,"Platform, Puzzle, Adventure, Indie"
FIFA 06,2005,EA Canada,Electronic Arts,Sport
FIFA 07,2006,EA Canada,Electronic Arts,Sport
FIFA 08,2007,EA Canada,EA Sports,"Simulator, Sport"
FIFA 09,2008,EA Canada,EA Sports,"Simulator, Sport"
FIFA 10,2009,EA Canada,EA Sports,"Simulator, Sport"
FIFA 11,2010,EA Canada,EA Sports,"Simulator, Sport"
FIFA 12,2011,EA Canada,EA Sports,"Simulator, Sport"
FIFA 13,2012,EA Canada,EA Sports,"Simulator, Sport"
FIFA 14,2013,EA Canada,EA Sports,Sport
FIFA 15,2014,EA Canada,EA Sports,Sport
FIFA 16,2015,EA Canada,EA Sports,Sport
FIFA 17,2016,"EA Vancouver, EA Bucharest",EA Sports,Sport
FIFA 18,2017,"EA Vancouver, EA Romania",EA Sports,Sport
FIFA 19,2018,"EA Vancouver, EA Romania",EA Sports,Sport
FIFA 20,2019,"EA Vancouver, EA Romania",EA Sports,Sport
FIFA 2000,1999,EA Canada,Electronic Arts,Sport
FIFA 2001,2000,EA Canada,Electronic Arts,Sport
FIFA 2002,2001,EA Canada,Electronic Arts,Sport
FIFA 97,1996,EA Canada,Electronic Arts,Sport
FIFA 99,1998,EA Canada,Electronic Arts,"Simulator, Sport"
FIFA Football 2005,2004,EA Canada,Electronic Arts,Sport
FIFA Manager 06,2005,EA Canada,Electronic Arts,Sport
FIFA Manager 07,2006,Bright Future,Electronic Arts,Sport
FIFA Manager 07: Extra Time,2007,Bright Future,Electronic Arts,Sport
FIFA Manager 08,2007,Bright Future,Electronic Arts,"Simulator, Sport"
FIFA Manager 09,2008,Bright Future,Electronic Arts,"Simulator, Sport"
FIFA Manager 10,2009,Bright Future,Electronic Arts,"Simulator, Sport"
FIFA: Road to World Cup 98,1997,EA Canada,Electronic Arts,Sport
FIFA Soccer Manager,1997,EA Sports,EA Sports,"Simulator, Sport"
FIFA World Cup: Germany 2006,2006,EA Canada,EA Sports,Sport
Fighter Squadron: The Screamin Demons Over Europe,1999,Parsoft Interactive,Activision,Simulator
Fighters Anthology,1997,Janes Combat Simulations,Electronic Arts,"Fighting, Arcade"
Fighties,2015,PillowPigGames,PillowPigGames,Indie
Fighting Force,1997,Core Design,Eidos Interactive,"Fighting, ""Hack and slash/Beat em up"", Adventure"
